Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
1lWlERjL0eTTQtElvKiLJG,15.2,jewel ford ivi,David Sarah UuI,single,n-a,8.0,Floyd Flats Ollic,2020-09-15,0.527,0.2,8,-25.561,0,0.04,0.000503,0.974,0.1,0.486,120.071,else,Malaysia,2020-09-25,116.0
1lWoanAmIk1PZisbP5LmwT,2575.2000000000007,how to love,Cash Cash - Sofia Reyes,album,big room,552618.0,"Blood, Sweat & 3 Years",2016-06-24,0.6729999999999999,0.894,0,-2.73,1,0.0594,0.148,3.4e-06,0.141,0.63,118.894,house,Indonesia,2017-01-09,104.0
1lntL1cI2UIWlxjL5QiN8g,18173.35,the other,Lauv,single,pop,3587039.0,The Other,2015-03-31,0.38,0.5529999999999999,7,-6.621,1,0.0653,0.421,2.63e-06,0.0788,0.384,179.62900000000005,pop,Indonesia,2017-03-23,35.0
1louJpMmzEicAn7lzDalPW,43605.35,no promises,Cheat Codes - Demi Lovato,single,dance pop,1727948.0,No Promises (feat. Demi Lovato),2017-03-31,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,pop,Malaysia,2017-06-07,8.0
1lsBTdE6MGsKeZCD6llNu7,8307.15,done for me,Charlie Puth - Kehlani,album,dance pop,11708460,Voicenotes,2018-05-11,0.856,0.632,6,-3.692,0,0.074,0.193,0.0,0.0688,0.6970000000000001,112.009,pop,Taiwan,2018-05-17,12.0
1mDGDb2fUmUMdqV3tb8VKQ,4909.0,now or never,Halsey,single,dance pop,12622150,Now Or Never,2017-04-04,0.67,0.585,6,-4.8610000000000015,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,pop,Australia,2017-06-01,15.0
1mXVgsBdtIVeCLJnSnmtdV,110130.80000000037,too good at goodbyes,Sam Smith,album,pop,14303985.0,The Thrill Of It All (Special Edition),2017-11-03,0.6809999999999999,0.3720000000000001,5,-8.237,1,0.0432,0.64,0.0,0.1689999999999999,0.476,91.873,pop,Indonesia,2017-11-04,1.0
1mdEvT7X3Rs7vL75fRb8oo,688.5,touch,NCT - NCT 127,album,k-pop,2203143.0,NCT 2018 EMPATHY,2018-03-14,0.595,0.8059999999999999,8,-4.644,1,0.141,0.0391,0.0,0.36,0.616,93.126,k-pop,Indonesia,2018-03-16,83.0
1mea3bSkSGXuIRvnydlB5b,266.4,viva la vida,Coldplay,album,permanent wave,27701635.0,Viva La Vida or Death and All His Friends,2008-05-26,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,indie,Taiwan,2017-04-13,23.0
1merjIVhdrKOOdolcYhn3v,8005.250000000003,menepi cover,Guyon Waton,album,dangdut,246625.0,Guyon Waton,2020-01-03,0.698,0.5720000000000001,9,-6.452999999999999,1,0.0296,0.555,0.0,0.109,0.7829999999999999,121.997,else,Indonesia,2020-08-08,88.0
1mpD5Q8IM32I4bF6eCpU74,40.00000000000001,up all night,Khalid,single,alternative r&b,12829933,Up All Night,2019-11-14,0.665,0.7120000000000001,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,r&b/soul,Australia,2019-11-22,21.0
1mruWrUwAVe2XkksUQiaHK,68199.29999999999,selamat,Virgoun - Audy,single,indonesian pop,924201.0,Selamat (Selamat Tinggal),2019-06-17,0.361,0.581,0,-8.502,1,0.0302,0.523,5.42e-06,0.118,0.3720000000000001,79.59,pop,Indonesia,2019-10-24,8.0
1n4jwRVXdkK2U34nBDUKKT,32.8,blood.,Kendrick Lamar,album,conscious hip hop,15770741.0,DAMN.,2017-04-14,0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907,hip hop,USA,2017-04-14,6.0
